,Place,Consumed,Name,Contest,Location,Date,Minutes
0,1st,63,"Joey ""Jaws"" Chestnut",Nathan's Famous Hot Dog Eating Contest - men,"Brooklyn, NY",2022-07-04,10.0
1,2nd,47.5,Geoffrey Esper,Nathan's Famous Hot Dog Eating Contest - men,"Brooklyn, NY",2022-07-04,10.0
2,3rd,41,James Webb,Nathan's Famous Hot Dog Eating Contest - men,"Brooklyn, NY",2022-07-04,10.0
3,4th,40,Nick Wehry,Nathan's Famous Hot Dog Eating Contest - men,"Brooklyn, NY",2022-07-04,10.0
4,5th,33.5,"Pat ""Deep Dish"" Bertoletti",Nathan's Famous Hot Dog Eating Contest - men,"Brooklyn, NY",2022-07-04,10.0
5,6th,29.5,Pablo Martinez,Nathan's Famous Hot Dog Eating Contest - men,"Brooklyn, NY",2022-07-04,10.0
6,7th,29,Derek Hendrickson,Nathan's Famous Hot Dog Eating Contest - men,"Brooklyn, NY",2022-07-04,10.0
7,7th,29,Gideon Oji,Nathan's Famous Hot Dog Eating Contest - men,"Brooklyn, NY",2022-07-04,10.0
8,7th,29,"Juan ""more bite"" Rodriguez",Nathan's Famous Hot Dog Eating Contest - men,"Brooklyn, NY",2022-07-04,10.0
9,7th,29,"Bartley Weaver, IV",Nathan's Famous Hot Dog Eating Contest - men,"Brooklyn, NY",2022-07-04,10.0
10,11th,28,George Chiger,Nathan's Famous Hot Dog Eating Contest - men,"Brooklyn, NY",2022-07-04,10.0
11,11th,28,"Adam ""Beard Meats Food"" Moran",Nathan's Famous Hot Dog Eating Contest - men,"Brooklyn, NY",2022-07-04,10.0
12,13th,27,"Steve ""The Rabbit"" Hammond",Nathan's Famous Hot Dog Eating Contest - men,"Brooklyn, NY",2022-07-04,10.0
13,14th,25.5,Derek Jacobs,Nathan's Famous Hot Dog Eating Contest - men,"Brooklyn, NY",2022-07-04,10.0
14,15th,25,"Ronnie ""MegaByte"" Hartman",Nathan's Famous Hot Dog Eating Contest - men,"Brooklyn, NY",2022-07-04,10.0
15,16th,20,"Brett ""The Branimal"" Healey",Nathan's Famous Hot Dog Eating Contest - men,"Brooklyn, NY",2022-07-04,10.0
16,1st,40,Miki Sudo,Nathan's Famous Hot Dog Eating Contest - women,"Brooklyn, NY",2022-07-04,10.0
17,2nd,26,"Michelle ""Cardboard Shell"" Lesco",Nathan's Famous Hot Dog Eating Contest - women,"Brooklyn, NY",2022-07-04,10.0
